Name,Rk,G,Date,Age,Tm,Venue,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jaylen Brown,5,5,26/10/2017,21-002,BOS,Away,MIL,W (+7),1,34:17:00,2,10,0.2,2,6,0.333,3,6,0.5,3,6,9,0,1,1,1,1,9,5.8,5
Jaylen Brown,6,6,28/10/2017,21-004,BOS,Away,MIA,W (+6),1,31:48:00,1,7,0.143,0,2,0,4,6,0.667,1,4,5,1,0,0,4,2,6,-1.5,16
Jaylen Brown,7,7,30/10/2017,21-006,BOS,Home,SAS,W (+14),1,30:09:00,6,11,0.545,1,3,0.333,5,5,1,0,4,4,2,1,0,2,2,18,13.5,19
Jaylen Brown,8,8,1/11/2017,21-008,BOS,Home,SAC,W (+27),1,24:41:00,7,8,0.875,5,6,0.833,3,5,0.6,0,6,6,1,0,0,1,2,22,19.1,16
Jaylen Brown,9,9,3/11/2017,21-010,BOS,Away,OKC,W (+7),1,30:38:00,3,8,0.375,1,3,0.333,3,8,0.375,3,9,12,1,1,0,0,1,10,9.7,4
Jaylen Brown,10,10,5/11/2017,21-012,BOS,Away,ORL,W (+16),1,27:58:00,7,13,0.538,3,5,0.6,1,3,0.333,2,5,7,1,2,0,3,2,18,12.7,1
Jaylen Brown,11,11,6/11/2017,21-013,BOS,Away,ATL,W (+3),1,30:35:00,4,10,0.4,1,5,0.2,2,2,1,1,3,4,1,0,0,2,4,11,4.3,-2
Jaylen Brown,12,12,8/11/2017,21-015,BOS,Home,LAL,W (+11),1,32:51:00,3,11,0.273,0,3,0,3,4,0.75,2,9,11,2,1,0,2,1,9,6.2,11
Jaylen Brown,13,13,10/11/2017,21-017,BOS,Home,CHO,W (+3),1,35:34:00,3,14,0.214,1,5,0.2,3,4,0.75,2,11,13,0,1,1,2,3,10,4.2,9
Jaylen Brown,14,14,12/11/2017,21-019,BOS,Home,TOR,W (+1),1,32:35:00,8,15,0.533,2,3,0.667,0,0,,3,0,3,3,2,0,2,3,18,13.7,6
Jaylen Brown,15,15,14/11/2017,21-021,BOS,Away,BRK,W (+7),1,31:27:00,5,9,0.556,1,4,0.25,3,4,0.75,0,4,4,3,3,0,2,2,14,12.8,24
Jaylen Brown,16,16,16/11/2017,21-023,BOS,Home,GSW,W (+4),1,34:06:00,7,18,0.389,3,8,0.375,5,6,0.833,3,4,7,0,2,2,0,3,22,17.3,8
Jaylen Brown,17,17,18/11/2017,21-025,BOS,Away,ATL,W (+11),1,35:29:00,10,13,0.769,4,6,0.667,3,7,0.429,0,4,4,0,1,0,1,4,27,19.9,8
Jaylen Brown,18,18,20/11/2017,21-027,BOS,Away,DAL,W (+8),1,37:06:00,8,13,0.615,3,6,0.5,3,6,0.5,0,9,9,0,1,0,3,2,22,14.8,6
Jaylen Brown,19,19,22/11/2017,21-029,BOS,Away,MIA,L (-6),1,30:58:00,6,10,0.6,2,3,0.667,0,0,,0,3,3,1,1,0,3,6,14,6.6,+
Gordon Hayward,1,1,16/10/2018,28-207,BOS,Home,PHI,W (+18),1,24:37:00,4,12,0.333,1,3,0.333,1,2,0.5,2,3,5,0,4,0,0,1,10,8.7,10
Gordon Hayward,2,2,19/10/2018,28-210,BOS,Away,TOR,L (-12),1,24:17:00,6,13,0.462,1,3,0.333,1,1,1,2,5,7,2,1,0,1,0,14,11.6,-11
Gordon Hayward,3,,20/10/2018,28-211,BOS,Away,NYK,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Gordon Hayward,4,3,22/10/2018,28-213,BOS,Home,ORL,L (-3),1,24:56:00,4,8,0.5,3,5,0.6,0,0,,0,4,4,3,1,0,2,3,11,8.1,-1
Gordon Hayward,5,4,25/10/2018,28-216,BOS,Away,OKC,W (+6),1,23:41,1,5,0.2,1,4,0.25,2,4,0.5,0,7,7,1,0,0,2,3,5,0.7,-13
Gordon Hayward,6,5,27/10/2018,28-218,BOS,Away,DET,W (+20),1,23:41,6,11,0.545,2,5,0.4,1,3,0.333,0,5,5,1,1,0,3,3,15,7.9,18
